S.No,Comments,Label
HATE_1001,thappu chesina vaallaku vanike kaadu inka anni modalithavi enta kaalam students life tho aadukuntu crores earn chedtharu illegal ga,hate
HATE_1002,dhusta chaathuryam meeru ilantivi enni chesina em pikalerra,hate
HATE_1003,vetakaram super govt ki siggu seram radu endukante siggu seram manushulaku mathrme vuntundani na abiprayam,hate
HATE_1004,only rajakiyam ga vadukovatanike ee dharidrapu arestlu,hate
HATE_1005,katam hogaya narayana pedda bokada college,hate
HATE_1006,telugu desam party only good administration in the world,non-hate
HATE_1007,nenu aite jabardast show chudadam manesanu tv abn channels lo debates vchinaka,non-hate
HATE_1008,jagan meeda jaganke visvasam ledu anduke ea loffer panulu,hate
HATE_1009,students tho adukovtam thappu,non-hate
HATE_1010,srinivasa gaaru endukee panikamaalina debate aa sambaki paniledu meeku jeetam kavaali makenti gola anni exams happy ga jariginai problem meeu creat cheyyavaddu,hate
HATE_1011,meru mi media published cheyadam vallane elanti idea lu vastai vallaki,non-hate
HATE_1012,one of the great leader a big salute sir,non-hate
HATE_1013,mogavalla face luu mathram manchiga chupistharu kanni asallu panni chaseena leady face mathram blur chastharuu edhi ee society andhukaa makky he team kavalli,hate
HATE_1014,paniki malina chana,hate
HATE_1015,rosayya garu is a real good and true politician history lo oka great leader rosayya garu no words to praise you sir rip rosayya garu,non-hate
HATE_1016,telangana gujju gulam kadu,hate
HATE_1017,disevulera mundamopi,hate
HATE_1018,anta manchi job chestu govt ki tala vanchi bratakadaniki siggundali,hate
HATE_1019,down to earth man rosaiah garu,non-hate
HATE_1020,jagan is unstoppable,non-hate
HATE_1021,rk eagerly waiting to demoralise jagan that is his intention,hate
HATE_1022,vedi nathinakodaka,hate
HATE_1023,vizag news reporter overaction chestunadu,hate
HATE_1024,revanth reddy garu has very clarity in his thoughts excellent way of expressing himself,non-hate
HATE_1025,mahesh smile pure soul,non-hate
HATE_1026,kanipinche devudu cbn,non-hate
HATE_1027,die hard fan frm kerala nenu choosina pedha actor uh tollywood lo pawan garuu,non-hate
HATE_1028,annanee lanti vaale kavali tdpki,non-hate
HATE_1029,babulake baabu super star mahesh baabu,non-hate
HATE_1030,jai pawan kalyan garu pawan ji in andhra and modi ji in centre perfect combo🇮🇳🇮🇳 i am a big fan of sir from delhi i wish we had someone like him in delhi,non-hate
HATE_1031,sir ycp ki balle gunapam dimputunavu,hate
HATE_1032,harish rao garu adiginatlu kaleswaram project pai cbi inquiry veyali,non-hate
HATE_1033,gounu leduga anduke intlo tongunnadu bayataki vaste ummivestarani,hate
HATE_1034,pavan kalyan gari nayakatvam vardillali jai power star,non-hate
HATE_1035,sagam kaalchina chutta peekalaku brand amsador,hate
HATE_1036,bjp central lo vachi yemi chesinru chepu,hate
HATE_1037,pk navu janmmalo ward member kuda kaledu,hate
HATE_1038,lancham antunaru anam garu inthaku mundu your government ilagey chesinda,hate
HATE_1039,jagan eppatiki cm avvaledu raasi pettukooha,hate
HATE_1040,kirrak movie cinema gurinchi bad ga anakandi jai mahesh anna,non-hate
HATE_1041,ka pal garu miru super,non-hate
HATE_1042,hehe mla kuda gelavaledu kanisam gurtu kuda ledu ento pikuta antunnadu,hate
HATE_1043,no loafer jai tdplokesh,hate
HATE_1044,asalu ka paul time ivvakudadhu amitashaku andhukante ayana deshala pm lanu ayana kalisaru,non-hate
HATE_1045,vammo mamulodivi kadu swamy nuvvu,non-hate
HATE_1046,manalli yavadu ra apeddi,non-hate
HATE_1047,poraaared flower,hate
HATE_1048,he has more talking power aina daivajanulato anta easy kadu mari,non-hate
HATE_1049,mahesh babu nilabadithe chalu memu chusathsam bayya super dailoge,non-hate
HATE_1050,idira pual power anty ippudina telusukondra,non-hate
HATE_1051,ramu garu correct ga chepparu sir,non-hate
HATE_1052,nuvvu bjp b party ra houle,hate
HATE_1053,ayanni okasari kodithey meeru laksha sarlu chupisthunnaru emkavali meeku,hate
HATE_1054,employees ki antha salary lu vasthuna chalatledhu ante mari nonemployees ami chey,hate
HATE_1055,tc rate penchadam kaduudyamalu cheyakunda employees kastapadithe development avutundi,hate
HATE_1056,ni jobi lo nundi oka rupai evariki ichinatlu a media lo chudaledhu sir pawan thana cinema dabbulu pedhavallaki pancharu,non-hate
HATE_1057,aallu eellu andaru okkate,non-hate
HATE_1058,etv news ani thesesi chandrana news ani pettandi baguntundhi,non-hate
HATE_1059,miru kada ra janalni mosam chesedhi,hate
HATE_1060,nenukudapedhavadeneupadheledhuvudhyogamledhupanuluekuvadhorukadamledhu,non-hate
HATE_1061,ee sari nennu ne boss ni chayputho kodataru plz hold til,hate
HATE_1062,eppudina ardaminda power cuts ap lone kaadu india mottam edhe problem,non-hate
HATE_1063,asalem matladuthunnavo neekanna ardham ayithundha,hate
HATE_1064,ede ap lo aite pachha media pachha party diniki kuda jagan ne karanam ane vallu,hate
HATE_1065,america agent jelenskydeshanni nashanam chesthunnadu,hate
HATE_1066,power lo undi evaru ra vedava,hate
HATE_1067,torch lite kuda leni rojula fake news vadu kavalane chesind,hate
HATE_1068,prajalu andaru sachinanka peekedemiledu,hate
HATE_1069,amarica andatho madam perigi kotukuntundi urikine,hate
HATE_1070,chetthaplan raakshashathvam,hate
HATE_1071,anna nuvu chepthuntevoka emotion vasthundanna,non-hate
HATE_1072,india an russia are best friendly countries evaru dislike chesaro vallu pak america nd china ollu,non-hate
HATE_1073,easy vochina success ni scam antarau emi chepparu bhayya love it,non-hate
HATE_1074,niyamtruthva leaders time konni rojule,non-hate
HATE_1075,samsaram kadu adi vebhicharam,hate
HATE_1076,nice baaga dhimpav anchor bro,hate
HATE_1077,mari aa sangathi thelisi antha madham yendhukura niku vaaru garu antunnaavgnanodhayamyndhi koddhiga,hate
HATE_1078,maa president ga gelipiste yedo peekutanu annadu yemi peekaadu yedyna cheyalante manchi manasu vundali megastar chesinavi chudandi apdbaandhavudu andarivaduannayya jai chiranjeeviandariki mere god father,hate
HATE_1079,one and only mega star potthi leyruraleyru,non-hate
HATE_1080,andaru ide panlo unnattunnaru veellu vammmo meeru rechagodithe rechiporu meeplans panikirav pondi,hate
HATE_1081,chiranjeevi gaaru meeru eppudu greate mi manasu mi saayam mi kalmasham leni vyakthitwam mi prema mundu evvaru sariporu annayya ee vishnu lantollu vandala mandochina mi kaali gotiki kuda sariporu annayya valla kullu vallane thagalapettestundi,non-hate
HATE_1082,paul mosapoyadurgv ellipoyaduanchor biskit ayadu gist of this non sense,hate
HATE_1083,official ga acres ante unofficial ga enno okko family member peru meedha enni ekaraalu unnayo raitu bandhu okkati chalu,hate
HATE_1084,real joker re unnadu kada malli sir,hate
HATE_1085,mallareddy dookudu cenima lo bramhi character correct set aithadu,non-hate
HATE_1086,madyalo aa sound effects matram next level,non-hate
HATE_1087,e endaku aa godugu padutunnaduitlaanti vaadini ekkada unchalo akkada unchaliycp vallu ade chesaru,hate
HATE_1088,prudhvi sir very good man nowsir thana thappu thelisikunnaru,non-hate
HATE_1089,sir ee discussion lu vaddu sir power star image poddi and mana dabba manam kottukunnattu untundi,hate
HATE_1090,dear etv variki dear gnapika entertainments variki dear ali gariki sir adivi sesh gariki madam saiee manjrekar gariki,non-hate
HATE_1091,telugu lo sesh chala intelligent screenplay writer chala talent vundhi manodiki,non-hate
HATE_1092,ma kharma rastani palinche mantrulu malla reddygangulatalasani meeku oka dandam ra babu,hate
HATE_1093,gudivada king true leader,non-hate
HATE_1094,elders ki respect lekunda matladina vaadu oka hero,hate
