S.No,Comments,Label
1,thappu chesina vaallaku vanike kaadu inka anni modalithavi enta kaalam students life tho aadukuntu crores earn chedtharu illegal ga,hate
2,dhusta chaathuryam meeru ilantivi enni chesina em pikalerra,hate
3,vetakaram super govt ki siggu seram radu endukante siggu seram manushulaku mathrme vuntundani na abiprayam,hate
4,only rajakiyam ga vadukovatanike ee dharidrapu arestlu,hate
5,katam hogaya narayana pedda bokada college,hate
6,telugu desam party only good administration in the world,non-hate
7,nenu aite jabardast show chudadam manesanu tv abn channels lo debates vchinaka,non-hate
8,jagan meeda jaganke visvasam ledu anduke ea loffer panulu,hate
9,students tho adukovtam thappu,non-hate
10,srinivasa gaaru endukee panikamaalina debate aa sambaki paniledu meeku jeetam kavaali makenti gola anni exams happy ga jariginai problem meeu creat cheyyavaddu,hate
11,meru mi media published cheyadam vallane elanti idea lu vastai vallaki,non-hate
12,one of the great leader a big salute sir,non-hate
13,mogavalla face luu mathram manchiga chupistharu kanni asallu panni chaseena leady face mathram blur chastharuu edhi ee society andhukaa makky he team kavalli,hate
14,paniki malina chana,hate
15,rosayya garu is a real good and true politician history lo oka great leader rosayya garu no words to praise you sir rip rosayya garu,non-hate
16,telangana gujju gulam kadu,hate
17,disevulera mundamopi,hate
18,anta manchi job chestu govt ki tala vanchi bratakadaniki siggundali,hate
19,down to earth man rosaiah garu,non-hate
20,jagan is unstoppable,non-hate
21,rk eagerly waiting to demoralise jagan that is his intention,hate
22,vedi nathinakodaka,hate
23,vizag news reporter overaction chestunadu,hate
24,revanth reddy garu has very clarity in his thoughts excellent way of expressing himself,non-hate
25,mahesh smile pure soul,non-hate
26,kanipinche devudu cbn,non-hate
27,die hard fan frm kerala nenu choosina pedha actor uh tollywood lo pawan garuu,non-hate
28,annanee lanti vaale kavali tdpki,non-hate
29,babulake baabu super star mahesh baabu,non-hate
30,jai pawan kalyan garu pawan ji in andhra and modi ji in centre perfect combo🇮🇳🇮🇳 i am a big fan of sir from delhi i wish we had someone like him in delhi,non-hate
31,sir ycp ki balle gunapam dimputunavu,hate
32,harish rao garu adiginatlu kaleswaram project pai cbi inquiry veyali,non-hate
33,gounu leduga anduke intlo tongunnadu bayataki vaste ummivestarani,hate
34,pavan kalyan gari nayakatvam vardillali jai power star,non-hate
35,sagam kaalchina chutta peekalaku brand amsador,hate
36,bjp central lo vachi yemi chesinru chepu,hate
37,pk navu janmmalo ward member kuda kaledu,hate
38,lancham antunaru anam garu inthaku mundu your government ilagey chesinda,hate
39,jagan eppatiki cm avvaledu raasi pettukooha,hate
40,kirrak movie cinema gurinchi bad ga anakandi jai mahesh anna,non-hate
41,ka pal garu miru super,non-hate
42,hehe mla kuda gelavaledu kanisam gurtu kuda ledu ento pikuta antunnadu,hate
43,no loafer jai tdplokesh,hate
44,asalu ka paul time ivvakudadhu amitashaku andhukante ayana deshala pm lanu ayana kalisaru,non-hate
45,vammo mamulodivi kadu swamy nuvvu,non-hate
46,manalli yavadu ra apeddi,non-hate
47,poraaared flower,hate
48,he has more talking power aina daivajanulato anta easy kadu mari,non-hate
49,mahesh babu nilabadithe chalu memu chusathsam bayya super dailoge,non-hate
50,idira pual power anty ippudina telusukondra,non-hate
51,ramu garu correct ga chepparu sir,non-hate
52,nuvvu bjp b party ra houle,hate
53,ayanni okasari kodithey meeru laksha sarlu chupisthunnaru emkavali meeku,hate
54,employees ki antha salary lu vasthuna chalatledhu ante mari nonemployees ami chey,hate
55,tc rate penchadam kaduudyamalu cheyakunda employees kastapadithe development avutundi,hate
56,ni jobi lo nundi oka rupai evariki ichinatlu a media lo chudaledhu sir pawan thana cinema dabbulu pedhavallaki pancharu,non-hate
57,aallu eellu andaru okkate,non-hate
58,etv news ani thesesi chandrana news ani pettandi baguntundhi,non-hate
59,miru kada ra janalni mosam chesedhi,hate
60,nenukudapedhavadeneupadheledhuvudhyogamledhupanuluekuvadhorukadamledhu,non-hate
61,ee sari nennu ne boss ni chayputho kodataru plz hold til,hate
62,eppudina ardaminda power cuts ap lone kaadu india mottam edhe problem,non-hate
63,asalem matladuthunnavo neekanna ardham ayithundha,hate
64,ede ap lo aite pachha media pachha party diniki kuda jagan ne karanam ane vallu,hate
65,america agent jelenskydeshanni nashanam chesthunnadu,hate
66,power lo undi evaru ra vedava,hate
67,torch lite kuda leni rojula fake news vadu kavalane chesind,hate
68,prajalu andaru sachinanka peekedemiledu,hate
69,amarica andatho madam perigi kotukuntundi urikine,hate
70,chetthaplan raakshashathvam,hate
71,anna nuvu chepthuntevoka emotion vasthundanna,non-hate
72,india an russia are best friendly countries evaru dislike chesaro vallu pak america nd china ollu,non-hate
73,easy vochina success ni scam antarau emi chepparu bhayya love it,non-hate
74,niyamtruthva leaders time konni rojule,non-hate
75,samsaram kadu adi vebhicharam,hate
76,nice baaga dhimpav anchor bro,hate
77,mari aa sangathi thelisi antha madham yendhukura niku vaaru garu antunnaavgnanodhayamyndhi koddhiga,hate
78,maa president ga gelipiste yedo peekutanu annadu yemi peekaadu yedyna cheyalante manchi manasu vundali megastar chesinavi chudandi apdbaandhavudu andarivaduannayya jai chiranjeeviandariki mere god father,hate
79,one and only mega star potthi leyruraleyru,non-hate
80,andaru ide panlo unnattunnaru veellu vammmo meeru rechagodithe rechiporu meeplans panikirav pondi,hate
81,chiranjeevi gaaru meeru eppudu greate mi manasu mi saayam mi kalmasham leni vyakthitwam mi prema mundu evvaru sariporu annayya ee vishnu lantollu vandala mandochina mi kaali gotiki kuda sariporu annayya valla kullu vallane thagalapettestundi,non-hate
82,paul mosapoyadurgv ellipoyaduanchor biskit ayadu gist of this non sense,hate
83,official ga acres ante unofficial ga enno okko family member peru meedha enni ekaraalu unnayo raitu bandhu okkati chalu,hate
84,real joker re unnadu kada malli sir,hate
85,mallareddy dookudu cenima lo bramhi character correct set aithadu,non-hate
86,madyalo aa sound effects matram next level,non-hate
87,e endaku aa godugu padutunnaduitlaanti vaadini ekkada unchalo akkada unchaliycp vallu ade chesaru,hate
88,prudhvi sir very good man nowsir thana thappu thelisikunnaru,non-hate
89,sir ee discussion lu vaddu sir power star image poddi and mana dabba manam kottukunnattu untundi,hate
90,dear etv variki dear gnapika entertainments variki dear ali gariki sir adivi sesh gariki madam saiee manjrekar gariki,non-hate
91,telugu lo sesh chala intelligent screenplay writer chala talent vundhi manodiki,non-hate
92,ma kharma rastani palinche mantrulu malla reddygangulatalasani meeku oka dandam ra babu,hate
93,gudivada king true leader,non-hate
94,elders ki respect lekunda matladina vaadu oka hero,hate
95,power loki vachaka prajala paina kallu petti thokkutharuu,hate
96,assembly lo aa party kani sir ma samsyaluni gurinchi matladandi missillineous vanni matlda vaddu si,hate
97,miru chala great man simham munduku kukkalu ravu sir love you soo much bratiki konnirojulaina ilane vundali love you,non-hate
98,super sathi garumee action superbchala enjoy chesthunnamu,non-hate
99,arey budder khan nuvvu asalu,hate
100,venki anna yekkada unna haa joshi veru,non-hate
101,permit room lu enduku pettirru thaginanka oka beer tho aguthara,hate
102,kaveri jah kadu ra adi evarro kudo teliduuu jafa,hate
103,wines lo thaage system pettakandi sir banjeyandi samaanyula midhane miru ebbandhi pedtharu wines yekkada padithe akkada unnai galliko wines aindhi,hate
104,manchu laxmi lo andam ekada kanipistunde raa babu dabbu unte stone kuda diamond laga kanipistunde,hate
105,meru devudu annalife long meru healthy ga undalani devudu ki pratistunna,non-hate
106,samba shivudu great humanity person,non-hate
107,wow real journalist mallanna gariki hattsoffmelaga andaru journalists vuntey asalu corruption cheyadaniki kuda bhayapadtaru anna,non-hate
108,konchem odd ga behave cheyadam kadandi pitchandi edi,hate
109,eme thagi matladthundemo,hate
110,andhra lo roads veyandi babu koncham accidents avthunnai vehicles anni damage avthunnai krishna and west godavari roads aithey mari worst,hate
111,youtube vedios konni follow ayyedhanni tharwatha bb house lo koncham negitive feel ayya ippudu chustunte badha anipistundhi very good dancer all the best for your future shanmukh 💐,non-hate
112,prajala samasyala gurinchi okaru kuda matladaru kadha nice,hate
113,ayithe life politician kavali ra babu,non-hate
114,jagan paapam pande rojulu dhaggara paduthunnayi vasthunnayi vasthunnayi manchi rojulu vasthunnayi,hate
